count,route_id,linkid_list,nav_status,remain_distance,UpdateType
794,215937208,107726231/107726232/107726276/,0,0,0
797,215937208,107726232/107726232/107726276/,2,100000,0
797,215937208,107726233/107726232/107726276/,2,100000,0
798,215937208,107726234/107726232/107726276/,2,100000,0
802,215937208,107726235/107726232/107726276/,2,100000,0
806,215937208,107726236/107726232/107726276/,2,100000,0
810,215937208,107726237/107726232/107726276/,2,100000,0
814,215937208,107726238/107726232/107726276/,2,100000,0
817,215937208,107726239/107726232/107726276/,2,100000,0
817,215937208,107726240/107726232/107726276/,2,100000,0
818,215937208,107726241/107726232/107726276/,2,100000,0
822,215937208,107726242/107726232/107726276/,2,100000,0
826,215937208,107726243/107726232/107726276/,2,100000,0
830,215937208,107726244/107726232/107726276/,2,100000,0
834,215937208,107726245/107726232/107726276/,2,100000,0
837,215937208,107726246/107726232/107726276/,2,100000,0
837,215937208,107726247/107726232/107726276/,2,100000,0
838,215937208,107726248/107726232/107726276/,2,100000,0
842,215937208,107726249/107726232/107726276/,2,100000,0
846,215937208,107726250/107726232/107726276/,2,100000,0
850,215937208,107726251/107726232/107726276/,2,100000,0
854,215937208,107726252/107726232/107726276/,2,100000,0
857,215937208,107726253/107726232/107726276/,2,100000,0
857,215937208,107726254/107726232/107726276/,2,100000,0
858,215937208,107726255/107726232/107726276/,2,100000,0
862,215937208,107726256/107726232/107726276/,2,100000,0
866,215937208,107726257/107726232/107726276/,2,100000,0
870,215937208,107726258/107726232/107726276/,2,100000,0
874,215937208,107726259/107726232/107726276/,2,100000,0
877,215937208,107726260/107726232/107726276/,2,100000,0
877,215937208,107726261/107726232/107726276/,2,100000,0
878,215937208,107726262/107726232/107726276/,2,100000,0
882,215937208,107726263/107726232/107726276/,2,100000,0
886,215937208,107726264/107726232/107726276/,2,100000,0
890,215937208,107726265/107726232/107726276/,2,100000,0
894,215937208,107726266/107726232/107726276/,2,100000,0
897,215937208,107726267/107726232/107726276/,2,100000,0
897,215937208,107726268/107726232/107726276/,2,100000,0
898,215937208,107726269/107726232/107726276/,2,100000,0
902,215937208,107726270/107726232/107726276/,2,100000,0
906,215937208,107726271/107726232/107726276/,2,100000,0
910,215937208,107726272/107726232/107726276/,2,100000,0
914,215937208,107726273/107726232/107726276/,2,100000,0
917,215937208,107726274/107726232/107726276/,2,100000,0
917,215937208,107726275/107726232/107726276/,2,100000,0
918,215937208,107726276/107726232/107726276/,2,100000,0
922,215937208,107726277/107726232/107726276/,2,100000,0
926,215937208,107726278/107726232/107726276/,2,100000,0
930,215937208,107726279/107726232/107726276/,2,100000,0
934,215937208,107726280/107726232/107726276/,2,100000,0
937,215937208,107726281/107726232/107726276/,2,100000,0
937,215937208,107726282/107726232/107726276/,2,100000,0
938,215937208,107726283/107726232/107726276/,2,100000,0
942,215937208,107726284/107726232/107726276/,2,100000,0
946,215937208,107726285/107726232/107726276/,2,100000,0
950,215937208,107726286/107726232/107726276/,2,100000,0
954,215937208,107726287/107726232/107726276/,2,100000,0
957,215937208,107726288/107726232/107726276/,2,100000,0
957,215937208,107726289/107726232/107726276/,2,100000,0
958,215937208,107726290/107726232/107726276/,2,100000,0
962,215937208,107726291/107726232/107726276/,2,100000,0
966,215937208,107726292/107726232/107726276/,2,100000,0
970,215937208,107726293/107726232/107726276/,2,100000,0
974,215937208,107726294/107726232/107726276/,2,100000,0
977,215937208,107726295/107726232/107726276/,2,100000,0
977,215937208,107726296/107726232/107726276/,2,100000,0
978,215937208,107726297/107726232/107726276/,2,100000,0
982,215937208,107726298/107726232/107726276/,2,100000,0
986,215937208,107726299/107726232/107726276/,2,100000,0
990,215937208,107726300/107726232/107726276/,2,100000,0
994,215937208,107726301/107726232/107726276/,2,100000,0
997,215937208,107726302/107726232/107726276/,2,100000,0
997,215937208,107726303/107726232/107726276/,2,100000,0
998,215937208,107726304/107726232/107726276/,2,100000,0
1002,215937208,107726305/107726232/107726276/,2,100000,0
1006,215937208,107726306/107726232/107726276/,2,100000,0
1010,215937208,107726307/107726232/107726276/,2,100000,0
1014,215937208,107726308/107726232/107726276/,2,100000,0
1017,215937208,107726309/107726232/107726276/,2,100000,0
1017,215937208,107726310/107726232/107726276/,2,100000,0
1018,215937208,107726311/107726232/107726276/,2,100000,0
1022,215937208,107726312/107726232/107726276/,2,100000,0
1026,215937208,107726313/107726232/107726276/,2,100000,0
1030,215937208,107726314/107726232/107726276/,2,100000,0
1034,215937208,107726315/107726232/107726276/,2,100000,0
1037,215937208,107726316/107726232/107726276/,2,100000,0
1037,215937208,107726317/107726232/107726276/,2,100000,0
1038,215937208,107726318/107726232/107726276/,2,100000,0
1042,215937208,107726319/107726232/107726276/,2,100000,0
1046,215937208,107726320/107726232/107726276/,2,100000,0
1050,215937208,107726321/107726232/107726276/,2,100000,0
1054,215937208,107726322/107726232/107726276/,2,100000,0
1057,215937208,107726323/107726232/107726276/,2,100000,0
1057,215937208,107726324/107726232/107726276/,2,100000,0
1058,215937208,107726325/107726232/107726276/,2,100000,0
1062,215937208,107726326/107726232/107726276/,2,100000,0
