RoadId,RoadKind,RoadDirection,RoadForm,LaneCount,Width,SpeedLimitMin,SpeedLimitMax,RoadStatus,NextIds,PrevIds,lane_roadid,lane_lanenum,lane_laneid,lane_nexts(roadId:laneNum),lane_pres(roadId:laneNum),lane_CategoryVehicle,lane_CategorySpecial,lane_CategoryLocation,lane_Transition,lane_isVirtual,LaneConnects(LaneId:RoadId:PassRoadIds:ArrowInfo:LaneInfo:BusLane:LaneNum:LaneLeft:LaneRight)
107726338,5,2,0,4,13.68,0,60,1,107726337/,107724664/107726216/107726219/107726226/,107726338,1,19167564,(107726337:72),(107726226:213)(107726219:243)(107726216:0)(107726216:1),0,0,0,1,0,(1235646:1345256:123566/12451461/:3:8:4:5:6:7)(1235646:1345256:123566/12451461/123451346/:3:8:4:5:6:7)
107726338,5,2,0,4,13.68,0,60,1,107726337/,107724664/107726216/107726219/107726226/,107726338,2,19167563,(107726337:71),(107726226:216)(107726219:244),0,0,0,1,0,(1235646:1345256:123566/12451461/:3:8:4:5:6:7)(1235646:1345256:123566/12451461/:3:8:4:5:6:7)
107726338,5,2,0,4,13.68,0,60,1,107726337/,107724664/107726216/107726219/107726226/,107726338,3,19167565,(107726337:73),(107726226:215)(107724664:254),0,0,0,1,0,(1235646:1345256:123566/12451461/123451346/:3:8:4:5:6:7)
107726338,5,2,0,4,13.68,0,60,1,107726337/,107724664/107726216/107726219/107726226/,107726338,4,19167566,(107726337:74),(107726226:214)(107724664:253),0,0,0,1,0,(1235646:1345256:123566/12451461/123451346/:3:8:4:5:6:7)
107726337,5,2,0,4,13.675,0,60,1,107726336/,107726338/,107726337,1,19167560,(107726336:68),(107726338:76),16,0,0,1,0,(1235646:1345256:123566/12451461/123451346/:3:8:4:5:6:7)
107726337,5,2,0,4,13.675,0,60,1,107726336/,107726338/,107726337,2,19167559,(107726336:67),(107726338:75),0,0,0,1,0,(1235646:1345256:123566/12451461/123451346/:3:8:4:5:6:7)
107726337,5,2,0,4,13.675,0,60,1,107726336/,107726338/,107726337,3,19167561,(107726336:69),(107726338:77),0,0,0,1,0,(1235646:1345256:123566/12451461/123451346/:3:8:4:5:6:7)
107726337,5,2,0,4,13.675,0,60,1,107726336/,107726338/,107726337,4,19167562,(107726336:70),(107726338:78),0,0,0,1,0,(1235646:1345256:123566/12451461/123451346/:3:8:4:5:6:7)
107726336,5,2,0,4,13.685,0,60,1,107726335/,107726337/,107726336,1,19167556,(107726335:66),(107726337:72),0,0,0,1,0,(1235646:1345256:123566/12451461/123451346/:3:8:4:5:6:7)
107726336,5,2,0,4,13.685,0,60,1,107726335/,107726337/,107726336,2,19167555,(107726335:63),(107726337:71),0,0,0,1,0,(1235646:1345256:123566/12451461/123451346/:3:8:4:5:6:7)
107726336,5,2,0,4,13.685,0,60,1,107726335/,107726337/,107726336,3,19167557,(107726335:64),(107726337:73),0,0,0,1,0,(1235646:1345256:123566/12451461/123451346/:3:8:4:5:6:7)
107726336,5,2,0,4,13.685,0,60,1,107726335/,107726337/,107726336,4,19167558,(107726335:65),(107726337:74),0,0,0,1,0,(1235646:1345256:123566/12451461/123451346/:3:8:4:5:6:7)
107726276,5,2,6,1,3.875,0,40,1,107724659/,107726335/,107726276,1,19167730,(107724659:142),(107726335:66),0,0,0,1,1,(1235646:1345256:123566/12451461/123451346/:3:8:4:5:6:7)
107726335,5,2,0,4,13.69,0,60,1,107726232/107726276/,107726336/,107726335,1,19167554,(107726276:242),(107726336:68),0,0,0,1,0,(1235646:1345256:123566/12451461/123451346/:3:8:4:5:6:7)
107726335,5,2,0,4,13.69,0,60,1,107726232/107726276/,107726336/,107726335,2,19167551,(107726232:237)(107726232:238),(107726336:67),0,0,0,1,0,(1235646:1345256:123566/12451461/123451346/:3:8:4:5:6:7)
107726335,5,2,0,4,13.69,0,60,1,107726232/107726276/,107726336/,107726335,3,19167552,(107726232:236),(107726336:69),0,0,0,1,0,(1235646:1345256:123566/12451461/123451346/:3:8:4:5:6:7)
