count,Longitude,Latitude,Heading,Speed,xAcc,yAcc,zAcc,AngularVelocityX,AngularVelocityY,AngularVelocityZ,FailSafeLocStatus,GeoFenceJudgeStatus,GeoFenceJudgeType,PathId,LinkId,LaneId,PathOffset,PositionTimeStamp,PositionAge
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
38,120.6485382,31.41459332,-155.5944824,0,0,0,0,0,0,0,2,0,0,0,107726341,2,0,2459661059,0
39,120.6485382,31.41459332,-155.5944824,0,0,0,0,0,0,0,2,0,0,0,107726341,2,0,2459711058,0
40,120.6485382,31.41459332,-155.5944824,0,0,0,0,0,0,0,2,0,0,0,107726341,2,0,2459731058,0
41,120.6485382,31.41459332,-155.5944824,0,0,0,0,0,0,0,2,0,0,0,107726341,2,0,2459731058,0
42,120.6485382,31.41459332,-155.5944824,0,0,0,0,0,0,0,2,0,0,0,107726341,2,0,2459841065,0
43,120.6485382,31.41459332,-155.5944824,0,0,0,0,0,0,0,2,0,0,0,107726341,2,0,2459841065,0
44,120.6485382,31.41459332,-155.5944824,0,0,0,0,0,0,0,2,0,0,0,107726341,2,0,2459941078,0
45,120.6485382,31.41459332,-155.5944824,0,0,0,0,0,0,0,2,0,0,0,107726341,2,0,2459941078,0
46,120.6485382,31.41459332,-155.5944824,0,0,0,0,0,0,0,2,0,0,0,107726341,2,0,2460051067,0
47,120.6485382,31.41459332,-155.5944824,0,0,0,0,0,0,0,2,0,0,0,107726341,2,0,2460051067,0
48,120.6485382,31.41459332,-155.5944824,0,0,0,0,0,0,0,2,0,0,0,107726341,2,0,2460151075,0
49,120.6485382,31.41459332,-155.5944824,0,0,0,0,0,0,0,2,0,0,0,107726341,2,0,2460151075,0
50,120.6485382,31.41459332,-155.5944824,0,0,0,0,0,0,0,2,0,0,0,107726341,2,0,2460251066,0
51,120.6485382,31.41459332,-155.5944824,0,0,0,0,0,0,0,2,0,0,0,107726341,2,0,2460251066,0
52,120.6485382,31.41459332,-155.5944824,0,0,0,0,0,0,0,2,0,0,0,107726341,2,0,2460361070,0
53,120.6485382,31.41459332,-155.5944824,0,0,0,0,0,0,0,2,0,0,0,107726341,2,0,2460361070,0
54,120.6485382,31.41459332,-155.5944824,0,0,0,0,0,0,0,2,0,0,0,107726341,2,0,2460461078,0
55,120.6485382,31.41459332,-155.5944824,0,0,0,0,0,0,0,2,0,0,0,107726341,2,0,2460461078,0
56,120.6485382,31.41459332,-155.5944824,0,0,0,0,0,0,0,2,0,0,0,107726341,2,0,2460561138,0
